zonasi;pengkoreksian
Transportasi;else
Instalasi Pengolahan Air Minum (IPAM);else
Rimba Kota;else
Sekitar Danau atau Waduk;else
Keunikan Proses Geologi;else
Perdagangan dan Jasa Skala Sub BWP;Perdagangan Jasa 3
Perdagangan dan Jasa Skala BWP;Perdagangan Jasa 2
SPU Skala Kota;SPU 1
Ruang Terbuka Non Hijau;else
Taman Kota;else
Sempadan Mata Air;else
Instalasi Pengolahan Air Limbah (IPAL);else
Cagar Budaya;else
Keunikan Batuan dan Fosil;else
Pengelolaan Persampahan;else
Perumahan Kepadatan Sedang;Permukiman 2
Perdagangan dan Jasa Skala WP;Perdagangan Jasa 2
Pariwisata;else
Badan Air;else
Perdagangan dan Jasa Skala Kota;Perdagangan Jasa 1
Pertahanan dan Keamanan;else
Rumah Kepadatan Rendah;Permukiman 3
Kawasan Peruntukan Industri;Industri
Rumah Kepadatan Sedang;Permukiman 2
Perumahan Kepadatan Rendah;Permukiman 3
SPU Skala Kecamatan;SPU 2
Badan Jalan;else
Taman Kecamatan;else
Pemakaman;else
Taman Wisata Alam;else
Campuran Intensitas Tinggi;else
Pembangkitan Tenaga Listrik;else
Cagar Alam;else
Perlindungan Setempat;else
Perumahan Kepadatan Tinggi;Permukiman 1
SPU Skala Kelurahan;SPU 3
Taman Kelurahan;else
Rumah Kepadatan Tinggi;Permukiman 1
Tanaman Pangan;Pertanian
Perdagangan dan Jasa Skala SWP;Perdagangan Jasa 3
Perkantoran;else
